Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
7 rue du G n ral de Larminat 15th arr 75015 Paris France,103,3/8/2017,8.8,Hotel Ares Eiffel, United Kingdom ,No Negative,0,667, In a quiet street within walking distance of the Eiffel Tower we really enjoyed exploring a new area of Paris for us and staying at this welcoming boutique hotel We loved the residential feel to the area local food shops and smaller resturants We walked along the seine and through parks and back streets we have only seen from a tour bus in the past The room was small but comfortable and well equipped and staff were helpful and attentive We will definitely use the hotel again ,89,6,8.3,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 1 night ']",148 day,48.8503276,2.2982022
61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,10/13/2015,8.9,Club Quarters Hotel Lincoln s Inn Fields, Denmark ,No Negative,0,2692, location was excellent for west end,7,23,6.7,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 2 nights ']",660 day,51.5160988,-0.1181749
Via Layetana 3 Ciutat Vella 08003 Barcelona Spain,31,8/6/2015,7.8,Barcelona Hotel Colonial, Kuwait , Honestly not a 4 star hotel im not even sure if its a 3 star hotel The room you get is small they dont offer you anything complementary not even water or coffee or the safe They dont have room service i was surprised they had someone to clean the rooms if you are someone who likes to feel just a little bit pampered when traveling or like to feel youre staying at a nice hotel this isnt for you If you care more about location and need the hotel just for sleeping might work for you but You can still probably find a better hotel around the same area ,112,287, Location was really good Walking distance to most key attractions including the beach Staff are nice and always smiling and greeting you ,24,8,7.5,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",728 day,41.3822909,2.1807447
102 Bd De Grenelle 15th arr 75015 Paris France,241,10/27/2015,8.6,Le Parisis Paris Tour Eiffel, Denmark , The breakfast was expensive and did not offer too much to choose from so the advice is to eat outside there are plenty place around the region When we arrived at 15 00 which was one hour past the check in time our room was not yet ready we had to wait and the front desk person did not even explained initially why we had to wait and after 10 minutes we asked what was taking so long and he in a very rude manner told us to be patient The room did not had an information brochure e g if you need to call to the front desk you need to magically guess that you need to dial 9 I also needed to use an iron which I had to go downstairs to get it because there was no way to know how to call front desk and the receptionist asked me to bring it back after I was done very informal hostel kind of approach so those little perks you expect to get when you go to a 4 star hotel you will not get it from this one ,193,1477, The location was good the shower and bed were very good ,13,6,5.8,"[' Leisure trip ', ' Couple ', ' Double Room with Eiffel Tower View ', ' Stayed 2 nights ']",646 day,48.8494851,2.2955063
36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,28,5/3/2017,8.8,Hotel Georgette, Italy , I do not have anything negative to say ,10,307, It was very close to the attractions and locale that i wanted to visit,15,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",92 days,48.8632723,2.352691
Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,589,10/13/2015,7.0,NH Carlton Amsterdam, United States of America ,No Negative,0,4231, Staff and location Good hotel ,7,1,7.1,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",660 day,52.3663727,4.8930505
11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,253,2/5/2017,8.1,My Bloomsbury, United Kingdom , Shower head a bit dated and holder for it too high or too low Room was warm so opened window overlooking TCR then a bit traffic noisy,28,1161, Beds are really comfy Room nicely decorated not too flashy Tea coffee water selection is good Shower pressure good Overall really liked it,24,14,9.2,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",179 day,51.5188555,-0.1319172
Diputaci 257 Eixample 08007 Barcelona Spain,221,3/11/2017,8.2,Eurostars Cristal Palace, Ireland , Cockroach in the bath tub on second last night made me question cleanliness of the hole room No double beds just 2 single beds pusher together and kept sliding apart during the night ,35,3046, Location is everything with this hotel It s right were you want to be lots of bars and restaurants only around the corner,24,4,7.1,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",145 day,41.3897945,2.1660575
Corso di Porta Romana 64 Milan City Center 20122 Milan Italy,191,2/9/2016,7.8,Hotel Romana Residence, United Kingdom , No facilities for ironing when I asked for one the front desk said it was health and safety which I understand and then he said I could burn the hotel and he would be out of work or die I couldn t believe what he said not good customer service also very disorganised hotel also breakfast they serve from 7 am till 10 30am we went down at 9 45 there was hardly any breakfast left when I asked for more toast the lady went in a huff everyone in the breakfast room agreed but after I complained toast arrived so they need to sort out that there is enough breakfast if it states till 10 30 then full breakfast should be there Remember you have to pay a tax of 5 Euro per day per person this wasn t stated Also plug sockets never worked,147,2241, Not much will not go to this hotel ever,10,3,4.2,"[' Leisure trip ', ' Group ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",541 day,45.4572218,9.1937008
31 33 Argyle Street Camden London WC1H 8EP United Kingdom,219,8/6/2016,8.1,Comfort Inn Suites Kings Cross St Pancras, United Kingdom , An absolutely dire breakfast cheapest food disgusted,8,1116, Hotel very clean,4,1,5.8,"[' Leisure trip ', ' Couple ', ' Double Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",362 day,51.5289499,-0.1232979
Boquer a 10 Ciutat Vella 08002 Barcelona Spain,392,6/7/2016,8.5,Petit Palace Boqueria Garden, Australia , No coffee making facility in the room,8,3602,No Positive,0,11,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",422 day,41.3812223,2.1739622
Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,256,5/12/2017,8.4,Barcel Raval, United States of America ,No Negative,0,2254, Great hotel for the price,6,4,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",83 days,41.3790126,2.1696339
Rudolfsplatz 11 01 Innere Stadt 1010 Vienna Austria,120,7/10/2017,8.6,K K Palais Hotel, United Kingdom , Nothing,2,992, The staff were friendly and helpful The breakfasts were first class The room and facilities were excellent apart from the WiFi We were unable to use our tablet It wouldn t connect to the Internet ,37,3,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",24 days,48.2138096,16.3714293
150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,1/27/2017,8.4,DoubleTree by Hilton London Hyde Park, Israel , The pillows and the bed could have been a little better,12,2405, Great location with a tube station very close 3 min walk and bus stop at the enterance of the hotel The staff were so friendly and helpful ,29,2,9.2,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",188 day,51.5100362,-0.190657
22 Avenue du professeur lemierre 20th arr 75020 Paris France,110,4/24/2016,7.6,Novotel Suites Paris Montreuil Vincennes, India , No room service at all ,7,1176, It s just near to metro,7,1,4.6,"[' Leisure trip ', ' Solo traveler ', ' Superior Suite with 1 Double Bed and 1 Single Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",466 day,48.8554268,2.4152555
Via Tarchetti 2 Milan City Center 20121 Milan Italy,436,1/22/2017,8.4,NH Milano Touring, Italy , Breakfast,2,4568, Position,2,22,8.3,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",193 day,45.4769167,9.196665
Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,407,11/6/2016,8.2,NH City Centre Amsterdam, United Kingdom , Net curtains in room 231 were dusty Sorry but they made me sneeze ,15,3417, All staff helpful friendly and made you feel special Thank you ,13,5,9.6,"[' Leisure trip ', ' Group ', ' Submitted from a mobile device ']",270 day,52.3697554,4.8887815
Lakeside Way Brent London HA9 0BU United Kingdom,1427,12/20/2016,8.8,Hilton London Wembley, United Kingdom , We didnt have slippers to use in the hotel ,11,4305,No Positive,0,1,9.2,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",226 day,51.5576962,-0.2835263
Am Stadtpark 1 03 Landstra e 1030 Vienna Austria,374,6/7/2017,8.0,Hilton Vienna, Slovenia , TV not working,4,3078, Good location of the hotel,6,1,7.5,"[' Leisure trip ', ' Group ', ' King City View Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",57 days,48.2062268,16.3833767
143 Boulevard Saint Germain 6th arr 75006 Paris France,59,11/10/2016,8.8,H tel Madison by MH, United Kingdom , The breakfast is now very expensive so this time we used several of the excellent cafes near the hotel ,21,478, It was the third time that we have stayed at the hotel in the past twelve months so we like it The location is perfect with a metro station outside The staff are very friendly and helpful The rooms are well appointed and the beds very comfortable ,49,6,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Saint Germain des Pr s Church View ', ' Stayed 2 nights ']",266 day,48.8531641,2.3344097
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,12/21/2015,8.1,Strand Palace Hotel, United Kingdom , cleaners opened door at about 8am,7,9568, location perfect for where we were going theatre ,10,1,7.9,"[' Leisure trip ', ' Couple ', ' Cosy Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",591 day,51.5110993,-0.1208673
Via Manzoni 31 Milan City Center 20121 Milan Italy,153,12/4/2015,9.2,Armani Hotel Milano, Saudi Arabia ,No Negative,0,835, It s always fun to be in Armani hotels,10,8,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",608 day,45.470532,9.19302
Viale Sarca 336 Bicocca Zara 20125 Milan Italy,563,2/5/2016,8.3,Hotel degli Arcimboldi, Israel ,No Negative,0,10842, Far far away 50 minutes from airport Tiny rooms Bad service,12,3,5.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",545 day,45.5257221,9.2150033
De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,514,11/28/2016,8.9,Jaz Amsterdam, Germany , Hard to find the entrance when coming by car ,11,7108, A nice design hotel,5,33,7.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",248 day,52.314371,4.9388064
1 Rue De Libourne 12th arr 75012 Paris France,150,2/27/2017,8.7,Pullman Paris Centre Bercy, United States of America , Nothing at this time,5,1382, Excellent service,3,1,10.0,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 3 nights ']",157 day,48.8315204,2.3870797
209 211 rue de Charenton 12th arr 75012 Paris France,54,10/22/2016,8.7,Golden Tulip Bercy Gare de Lyon 209, United Kingdom , Location size if the room were schokingly small Not impressed by the standard of the room Would not visit again,21,1099, Decor of the room and shower room was nice and the staff,13,9,5.4,"[' Business trip ', ' Family with young children ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",285 day,48.8393229,2.3892274
111 avenue de la Bourdonnais 7th arr 75007 Paris France,178,6/15/2017,8.8,H tel de la Bourdonnais, United Kingdom ,No Negative,0,1337, Mom had a good sleep Very quiet Would love to stay here again ,15,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Triple Room ', ' Stayed 1 night ']",49 days,48.8550466,2.304583
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,4/10/2016,9.4,Intercontinental London The O2, United Kingdom , The hotel was not well managed and our room was changed before we had checked out So returning from breakfast we were unable to relax and couldn t use the facilities as intended A complaint bought a poor response Breakfast was also chaotic with little control and long queues Not what I would expect from a 5 star hotel ,61,4204, Location,2,1,5.4,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ']",480 day,51.5024348,-0.0002497
47 Welbeck Street Westminster Borough London W1G 8DN United Kingdom,411,5/20/2017,8.9,The Marylebone Hotel, United States of America , Window locked wouldn t unlock Staff no help with this Construction downstairs from room on 2 mornings Loud voices from bar smokers in Street right under room,28,1738,No Positive,0,3,7.5,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",75 days,51.5180207,-0.1500567
Sant Pau 9 11 Ciutat Vella 08001 Barcelona Spain,293,6/16/2016,8.7,Hotel Espa a Ramblas, New Zealand , The room was quite dark ,7,1908, The complimentary cupcakes and water were much appreciated The terrace bar was excellent to chill out away from the city bustle The room was a good size and I liked being able to open the window ,38,16,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",413 day,41.3799209,2.1728181
